element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
285, 1, 10, 1, False, 2019-08-09T19:00:00Z, 4, 1, 1, 57, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1.6, 0.4, 19.0, 2.1, 55, 0, 6865, 0, 0, 
285, 17, 13, 3, True, 2019-08-17T14:00:00Z, 3, 1, 2, 83, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11.6, 18.8, 23.0, 5.3, 55, 592, 8988, 1687, 1095, 
285, 26, 6, 1, True, 2019-08-24T11:30:00Z, 2, 3, 3, 80, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0.0, 1.6, 0.0, 0.1, 55, -702, 8656, 783, 1485, 
285, 40, 19, 2, False, 2019-08-31T14:00:00Z, 2, 0, 4, 76, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 10.2, 5.5, 35.0, 5.1, 55, -1059, 7950, 663, 1722, 
285, 46, 11, 2, True, 2019-09-14T16:30:00Z, 3, 2, 5, 88, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 7.6, 14.6, 6.0, 2.8, 55, -902, 7395, 308, 1210, 
285, 52, 5, 2, False, 2019-09-21T14:00:00Z, 2, 0, 6, 74, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 9.6, 17.9, 4.0, 3.2, 54, 94, 7722, 842, 748, 
285, 64, 7, 1, False, 2019-09-28T14:00:00Z, 2, 0, 7, 65, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 2.8, 12.1, 23.0, 3.8, 54, -386, 7434, 461, 847, 
285, 77, 2, 2, True, 2019-10-05T14:00:00Z, 1, 5, 8, 75, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 10, 11.0, 11.6, 89.0, 11.2, 54, -281, 7262, 364, 645, 
285, 82, 3, 0, False, 2019-10-19T14:00:00Z, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -481, 6820, 164, 645, 
285, 97, 12, 1, True, 2019-10-27T16:30:00Z, 1, 3, 10, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4.4, 13.9, 4.0, 2.2, 53, -421, 6449, 48, 469, 
285, 104, 4, 1, False, 2019-11-02T15:00:00Z, 2, 0, 11, 74, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 4.0, 24.8, 1.0, 3.0, 53, -373, 6123, 81, 454, 
