element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
451, 3, 16, 1, True, 2019-08-10T14:00:00Z, 3, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0.0, 0.0, 60, 0, 25916, 0, 0, 
451, 11, 1, 1, False, 2019-08-17T11:30:00Z, 2, 1, 2, 29, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.0, 10.0, 1.0, 59, -5492, 23227, 931, 6423, 
451, 30, 20, 1, False, 2019-08-25T15:30:00Z, 1, 1, 3, 12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2.2, 0.1, 0.0, 0.2, 59, -4713, 19393, 1097, 5810, 
451, 32, 10, 1, True, 2019-08-31T16:30:00Z, 0, 3, 4, 17, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4.0, 0.5, 17.0, 2.2, 58, -3158, 17038, 994, 4152, 
451, 43, 4, 1, False, 2019-09-14T14:00:00Z, 1, 1, 5, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.0, 0.0, 0.0, 58, -1729, 15906, 820, 2549, 
451, 52, 14, 1, True, 2019-09-21T14:00:00Z, 2, 0, 6, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.0, 0.8, 0.0, 0.2, 57, -1129, 14988, 443, 1572, 
451, 61, 2, 4, False, 2019-09-28T14:00:00Z, 2, 2, 7, 45, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 24, 35.0, 10.3, 19.0, 6.4, 57, -891, 14386, 476, 1367, 
451, 73, 8, 1, True, 2019-10-05T14:00:00Z, 1, 0, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7.0, 0.6, 17.0, 2.5, 57, 367, 15104, 1073, 706, 
451, 86, 9, 2, False, 2019-10-19T14:00:00Z, 2, 1, 9, 82, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0.2, 1.8, 5.0, 0.7, 57, -502, 14740, 500, 1002, 
451, 93, 6, 6, True, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 26, 39.4, 5.3, 42.0, 8.7, 57, 73, 14946, 588, 515, 
451, 108, 15, 2, False, 2019-11-02T15:00:00Z, 3, 0, 11, 77, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, -1, 0.0, 1.6, 10.0, 0.7, 57, 3153, 18713, 4012, 859, 
