element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
413, 5, 9, 0, False, 2019-08-11T13:00:00Z, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, 0, 46295, 0, 0, 
413, 20, 12, 0, True, 2019-08-19T19:00:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -2894, 47500, 1857, 4751, 
413, 30, 5, 0, True, 2019-08-25T15:30:00Z, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -1365, 47769, 2068, 3433, 
413, 35, 8, 0, False, 2019-09-01T13:00:00Z, 3, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -1322, 47873, 2159, 3481, 
413, 50, 6, 0, True, 2019-09-14T14:00:00Z, 2, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -594, 48674, 2410, 3004, 
413, 54, 7, 0, False, 2019-09-22T13:00:00Z, 1, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -111, 49221, 1566, 1677, 
413, 70, 18, 0, True, 2019-09-28T14:00:00Z, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -709, 48930, 1184, 1893, 
413, 75, 11, 0, False, 2019-10-06T13:00:00Z, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -487, 49033, 927, 1414, 
413, 90, 16, 0, True, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -1573, 47480, 556, 2129, 
413, 96, 13, 0, False, 2019-10-27T14:00:00Z, 1, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -484, 47236, 420, 904, 
413, 101, 1, 0, False, 2019-11-02T15:00:00Z, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -329, 47257, 772, 1101, 
413, 120, 2, 0, True, 2019-11-10T14:00:00Z, 2, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -787, 46646, 504, 1291, 
413, 123, 3, 0, False, 2019-11-23T15:00:00Z, 1, 2, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -666, 46297, 886, 1552, 
413, 140, 15, 0, True, 2019-12-01T14:00:00Z, 1, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -360, 46059, 596, 956, 
413, 146, 19, 0, True, 2019-12-04T19:30:00Z, 2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -480, 45597, 367, 847, 
413, 153, 4, 0, False, 2019-12-08T16:30:00Z, 2, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 40, -462, 45294, 396, 858, 
